,shift,recovered_shift_xcorr,recovered_shift_gcc,angle,ild
0,4,-4,-4,0.09826231003357014,-4.821637332766436e-16
1,25,-25,-25,0.5650171634209026,-4.821637332766436e-16
2,46,-46,-46,1.0318095188612204,0.0
3,67,33,-67,1.4986703796430674,-4.821637332766436e-16
4,88,12,-88,1.9656307900146723,0.0
