,shift,recovered_shift_xcorr,recovered_shift_gcc,angle,ild
0,4,-4,-4,0.0017150008407012588,(-0.36063695010600816+13.643763538418412j)
1,25,-25,-25,0.009861409831973617,(2.6008922489556774+13.643763538418412j)
2,46,-46,-46,0.01800847335754683,(3.9636425004161895+5.547418389542577e-16j)
3,67,-67,-67,0.026156732526884927,(-0.21200762291616582-1.38543341752358e-17j)
4,88,59,-88,0.03430672916433331,(0.41958036783455366-3.4781827010657966e-16j)
